model,n_trials,subject_id,source_study,negative_log_likelihood,log_likelihood,aic,bic,converged,optimizer_message,n_function_evaluations,n_iterations,n_starts,learning_rate,inverse_temperature,outcome_sensitivity,loss_aversion,response_consistency,delta_aic,delta_bic,best_aic,best_bic
pvl_delta,95,1,Fridberg,40.26370920121266,-40.26370920121266,88.52741840242533,98.74292596882749,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,195,25,32,0.10324455301038854,,1.0736734763698372,0.4596441716057196,2.5563086387737486,0.0,0.0,True,True
q_learning,95,1,Fridberg,45.378016833896766,-45.378016833896766,94.75603366779353,99.86378745099461,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,63,18,1,0.037336159245625306,20.0,,,,6.228615265368205,1.1208614821671148,False,False
pvl_delta,95,2,Fridberg,131.69796430549087,-131.69796430549087,271.39592861098174,281.6114361773839,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20,2,32,1e-06,,1e-06,1e-06,8.119590900076026e-06,8.383223954809239,13.490977738010315,False,False
q_learning,95,2,Fridberg,129.50635232808625,-129.50635232808625,263.0127046561725,268.1204584393736,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,144,34,3,0.0020371836592501646,20.0,,,,0.0,0.0,True,True
pvl_delta,95,3,Fridberg,115.67059202856416,-115.67059202856416,239.34118405712832,249.55669162353047,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,595,73,32,0.15523599986702652,,1e-06,0.23933770603502885,1.2563212856243566,0.0,0.0,True,True
q_learning,95,3,Fridberg,131.6979643063897,-131.6979643063897,267.3959286127794,272.5036823959805,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,0,1,0.0,0.0,,,,28.054744555651098,22.94699077245002,False,False
pvl_delta,95,4,Fridberg,113.3427184796141,-113.3427184796141,234.6854369592282,244.90094452563036,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,495,59,32,0.09353522569336062,,0.4417293997660233,1.2511739389629546,1.5829867460059426,0.0,0.0,True,True
q_learning,95,4,Fridberg,131.6979643063897,-131.6979643063897,267.3959286127794,272.5036823959805,True,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,3,0,1,0.0,0.0,,,,32.7104916535512,27.602737870350126,False,False
pvl_delta,95,5,Fridberg,113.84120662012215,-113.84120662012215,235.6824132402443,245.89792080664645,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,520,67,32,0.0625528677898877,,0.4516822116734123,1.4197265252696627,1.6106501624774208,0.0,0.0,True,True
q_learning,95,5,Fridberg,124.50019463299003,-124.50019463299003,253.00038926598006,258.10814304918114,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,126,32,3,0.004186241895720083,20.0,,,,17.31797602573576,12.210222242534684,False,False
pvl_delta,95,6,Fridberg,102.1990025019807,-102.1990025019807,212.3980050039614,222.61351257036355,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,320,43,32,0.0007708623646128063,,0.13008764319613045,4.61065168595791,5.0,0.0,0.0,True,True
q_learning,95,6,Fridberg,113.83907257801856,-113.83907257801856,231.67814515603712,236.7858989392382,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,78,13,3,0.009762781997582688,20.0,,,,19.280140152075717,14.17238636887464,False,False
pvl_delta,95,7,Fridberg,124.75838386140241,-124.75838386140241,257.51676772280484,267.732275289207,True,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,530,69,32,0.07415711150990759,,1e-06,1e-06,1.0071761018887713,0.0,0.0,True,True
